List of benchmarks,d_0_5000,,,,,,,,,,,,,,,,,,
IPS Performance(3D),29.232,,,,,,,,,,,,,,,,,,
Core Power(3D),8.20502,,,,,,,,,,,,,,,,,,
Logic Core Power(3D),0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.2494,0.1247,,,
Bank Power(3D),0.199562,,,,,,,,,,,,,,,,,,
Maximum Layer wise Bank Temperature(3D),99.87,100.33,100.26,99.71,100.33,100.79,100.6,99.85,100.26,100.6,99.95,98.29,99.71,99.85,98.29,93.33,,,
LC Temperature,75.96,,,,,,,,,,,,,,,,,,
Core Temperature(3D),75.76,,,,,,,,,,,,,,,,,,
Maximum Bank Temperature(3D),100.79,,,,,,,,,,,,,,,,,,
Maximum LC Temperature(3D),102.09,,,,,,,,,,,,,,,,,,
Maximum Core Temperature(3D),-273,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
List of benchmarks,libquantum,,,,,,,,,,,,,,,,,,
IPS Performance(3D),18.711,,,,,,,,,,,,,,,,,,
Core Power(3D),6.58967,,,,,,,,,,,,,,,,,,
Logic Core Power(3D),0.13002,,,,,,,,,,,,,,,,,,
Bank Power(3D),0.106925,,,,,,,,,,,,,,,,,,
Maximum Bank Temperature(3D),82.28,80.93,78.97,76.41,73.27,69.57,65.31,60.52,,,,,,,,,,,
LC Temperature,68.38,,,,,,,,,,,,,,,,,,
Core Temperature(3D),68.47,,,,,,,,,,,,,,,,,,
Maximum Bank Temperature(3D),82.28,,,,,,,,,,,,,,,,,,
Maximum LC Temperature(3D),83.03,,,,,,,,,,,,,,,,,,
Maximum Core Temperature(3D),-273,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
List of benchmarks,omnetpp,,,,,,,,,,,,,,,,,,
IPS Performance(3D),21.168,,,,,,,,,,,,,,,,,,
Core Power(3D),6.7983,,,,,,,,,,,,,,,,,,
Logic Core Power(3D),0.123371,,,,,,,,,,,,,,,,,,
Bank Power(3D),0.103025,,,,,,,,,,,,,,,,,,
Maximum Bank Temperature(3D),81.53,80.22,78.3,75.81,72.73,69.1,64.93,60.24,,,,,,,,,,,
LC Temperature,70.26,,,,,,,,,,,,,,,,,,
Core Temperature(3D),69.82,,,,,,,,,,,,,,,,,,
Maximum Bank Temperature(3D),81.53,,,,,,,,,,,,,,,,,,
Maximum LC Temperature(3D),82.25,,,,,,,,,,,,,,,,,,
Maximum Core Temperature(3D),-273,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
List of benchmarks,calculix,,,,,,,,,,,,,,,,,,
IPS Performance(3D),62.16,,,,,,,,,,,,,,,,,,
Core Power(3D),14.061,,,,,,,,,,,,,,,,,,
Logic Core Power(3D),0.02364,,,,,,,,,,,,,,,,,,
Bank Power(3D),0.00140955,,,,,,,,,,,,,,,,,,
Maximum Bank Temperature(3D),65.75,65.01,63.92,62.51,60.77,58.72,56.36,53.7,,,,,,,,,,,
LC Temperature,84.33,,,,,,,,,,,,,,,,,,
Core Temperature(3D),93.77,,,,,,,,,,,,,,,,,,
Maximum Bank Temperature(3D),65.75,,,,,,,,,,,,,,,,,,
Maximum LC Temperature(3D),66.17,,,,,,,,,,,,,,,,,,
Maximum Core Temperature(3D),-273,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
List of benchmarks,cactusADM,,,,,,,,,,,,,,,,,,
IPS Performance(3D),40.992,,,,,,,,,,,,,,,,,,
Core Power(3D),10.9611,,,,,,,,,,,,,,,,,,
Logic Core Power(3D),0.065995,,,,,,,,,,,,,,,,,,
Bank Power(3D),0.0552485,,,,,,,,,,,,,,,,,,
Maximum Bank Temperature(3D),73.66,72.64,71.16,69.21,66.81,63.97,60.7,57.01,,,,,,,,,,,
LC Temperature,78.23,,,,,,,,,,,,,,,,,,
Core Temperature(3D),83.38,,,,,,,,,,,,,,,,,,
Maximum Bank Temperature(3D),73.66,,,,,,,,,,,,,,,,,,
Maximum LC Temperature(3D),74.19,,,,,,,,,,,,,,,,,,
Maximum Core Temperature(3D),-273,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
List of benchmarks,leslie3d,,,,,,,,,,,,,,,,,,
IPS Performance(3D),37.968,,,,,,,,,,,,,,,,,,
Core Power(3D),9.39204,,,,,,,,,,,,,,,,,,
Logic Core Power(3D),0.08668,,,,,,,,,,,,,,,,,,
Bank Power(3D),0.0730376,,,,,,,,,,,,,,,,,,
Maximum Bank Temperature(3D),76.51,75.39,73.75,71.6,68.96,65.84,62.24,58.19,,,,,,,,,,,
LC Temperature,74.38,,,,,,,,,,,,,,,,,,
Core Temperature(3D),77.83,,,,,,,,,,,,,,,,,,
Maximum Bank Temperature(3D),76.51,,,,,,,,,,,,,,,,,,
Maximum LC Temperature(3D),77.12,,,,,,,,,,,,,,,,,,
Maximum Core Temperature(3D),-273,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
List of benchmarks,sphinx3,,,,,,,,,,,,,,,,,,
IPS Performance(3D),29.232,,,,,,,,,,,,,,,,,,
Core Power(3D),7.89417,,,,,,,,,,,,,,,,,,
Logic Core Power(3D),0.0788,,,,,,,,,,,,,,,,,,
Bank Power(3D),0.0665257,,,,,,,,,,,,,,,,,,
Maximum Bank Temperature(3D),75.46,74.38,72.8,70.72,68.17,65.15,61.67,57.75,,,,,,,,,,,
LC Temperature,70.88,,,,,,,,,,,,,,,,,,
Core Temperature(3D),72.68,,,,,,,,,,,,,,,,,,
Maximum Bank Temperature(3D),75.46,,,,,,,,,,,,,,,,,,
Maximum LC Temperature(3D),76.05,,,,,,,,,,,,,,,,,,
Maximum Core Temperature(3D),-273,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
List of benchmarks,astar,,,,,,,,,,,,,,,,,,
IPS Performance(3D),10.416,,,,,,,,,,,,,,,,,,
Core Power(3D),6.13064,,,,,,,,,,,,,,,,,,
Logic Core Power(3D),0.114753,,,,,,,,,,,,,,,,,,
Bank Power(3D),0.0673939,,,,,,,,,,,,,,,,,,
Maximum Bank Temperature(3D),75.58,74.49,72.9,70.81,68.25,65.22,61.73,57.8,,,,,,,,,,,
LC Temperature,64.91,,,,,,,,,,,,,,,,,,
Core Temperature(3D),65.79,,,,,,,,,,,,,,,,,,
Maximum Bank Temperature(3D),75.58,,,,,,,,,,,,,,,,,,
Maximum LC Temperature(3D),76.19,,,,,,,,,,,,,,,,,,
Maximum Core Temperature(3D),-273,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
List of benchmarks,mcf,,,,,,,,,,,,,,,,,,
IPS Performance(3D),9.45,,,,,,,,,,,,,,,,,,
Core Power(3D),5.90817,,,,,,,,,,,,,,,,,,
Logic Core Power(3D),0.192568,,,,,,,,,,,,,,,,,,
Bank Power(3D),0.158386,,,,,,,,,,,,,,,,,,
Maximum Bank Temperature(3D),91.59,89.84,87.35,84.11,80.16,75.52,70.21,64.25,,,,,,,,,,,
LC Temperature,70.05,,,,,,,,,,,,,,,,,,
Core Temperature(3D),67.64,,,,,,,,,,,,,,,,,,
Maximum Bank Temperature(3D),91.59,,,,,,,,,,,,,,,,,,
Maximum LC Temperature(3D),92.7,,,,,,,,,,,,,,,,,,
Maximum Core Temperature(3D),-273,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
List of benchmarks,namd,,,,,,,,,,,,,,,,,,
IPS Performance(3D),57.792,,,,,,,,,,,,,,,,,,
Core Power(3D),8.70239,,,,,,,,,,,,,,,,,,
Logic Core Power(3D),0,,,,,,,,,,,,,,,,,,
Bank Power(3D),0.00306708,,,,,,,,,,,,,,,,,,
Maximum Bank Temperature(3D),65.39,64.69,63.65,62.28,60.58,58.56,56.24,53.61,,,,,,,,,,,
LC Temperature,69.97,,,,,,,,,,,,,,,,,,
Core Temperature(3D),74.16,,,,,,,,,,,,,,,,,,
Maximum Bank Temperature(3D),65.39,,,,,,,,,,,,,,,,,,
Maximum LC Temperature(3D),65.76,,,,,,,,,,,,,,,,,,
Maximum Core Temperature(3D),-273,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
List of benchmarks,gcc,,,,,,,,,,,,,,,,,,
IPS Performance(3D),14.448,,,,,,,,,,,,,,,,,,
Core Power(3D),7.42896,,,,,,,,,,,,,,,,,,
Logic Core Power(3D),0.0933288,,,,,,,,,,,,,,,,,,
Bank Power(3D),0.0781359,,,,,,,,,,,,,,,,,,
Maximum Bank Temperature(3D),77.47,76.31,74.63,72.43,69.71,66.48,62.76,58.57,,,,,,,,,,,
LC Temperature,67.29,,,,,,,,,,,,,,,,,,
Core Temperature(3D),69.9,,,,,,,,,,,,,,,,,,
Maximum Bank Temperature(3D),77.47,,,,,,,,,,,,,,,,,,
Maximum LC Temperature(3D),78.09,,,,,,,,,,,,,,,,,,
Maximum Core Temperature(3D),-273,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
List of benchmarks,bzip2,,,,,,,,,,,,,,,,,,
IPS Performance(3D),30.618,,,,,,,,,,,,,,,,,,
Core Power(3D),7.38298,,,,,,,,,,,,,,,,,,
Logic Core Power(3D),0.0467875,,,,,,,,,,,,,,,,,,
Bank Power(3D),0.0404564,,,,,,,,,,,,,,,,,,
Maximum Bank Temperature(3D),71.23,70.31,68.96,67.18,64.98,62.38,59.39,56.02,,,,,,,,,,,
LC Temperature,66.92,,,,,,,,,,,,,,,,,,
Core Temperature(3D),69.66,,,,,,,,,,,,,,,,,,
Maximum Bank Temperature(3D),71.23,,,,,,,,,,,,,,,,,,
Maximum LC Temperature(3D),71.83,,,,,,,,,,,,,,,,,,
Maximum Core Temperature(3D),-273,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
List of benchmarks,tonto,,,,,,,,,,,,,,,,,,
IPS Performance(3D),57.792,,,,,,,,,,,,,,,,,,
Core Power(3D),10.7138,,,,,,,,,,,,,,,,,,
Logic Core Power(3D),0,,,,,,,,,,,,,,,,,,
Bank Power(3D),0.00355687,,,,,,,,,,,,,,,,,,
Maximum Bank Temperature(3D),65.45,64.74,63.7,62.32,60.62,58.6,56.27,53.64,,,,,,,,,,,
LC Temperature,75.5,,,,,,,,,,,,,,,,,,
Core Temperature(3D),81.5,,,,,,,,,,,,,,,,,,
Maximum Bank Temperature(3D),65.45,,,,,,,,,,,,,,,,,,
Maximum LC Temperature(3D),65.82,,,,,,,,,,,,,,,,,,
Maximum Core Temperature(3D),-273,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
List of benchmarks,gobmk,,,,,,,,,,,,,,,,,,
IPS Performance(3D),31.92,,,,,,,,,,,,,,,,,,
Core Power(3D),7.83783,,,,,,,,,,,,,,,,,,
Logic Core Power(3D),0.00591,,,,,,,,,,,,,,,,,,
Bank Power(3D),0.00725127,,,,,,,,,,,,,,,,,,
Maximum Bank Temperature(3D),66.03,65.31,64.23,62.82,61.07,58.99,56.59,53.88,,,,,,,,,,,
LC Temperature,67.76,,,,,,,,,,,,,,,,,,
Core Temperature(3D),71.11,,,,,,,,,,,,,,,,,,
Maximum Bank Temperature(3D),66.03,,,,,,,,,,,,,,,,,,
Maximum LC Temperature(3D),66.42,,,,,,,,,,,,,,,,,,
Maximum Core Temperature(3D),-273,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Power (in Watts),,,Temperature (in Celcius),,,,,,,,,,,,,,,
,Host Core,Logic Core,Mem,Mem,Logic Core,,,,,,,,,,,,,,
d_0_5000,8.27647,0.24160625,0.199562,100.79,102.09,,,B1,B3,AVERAGE(B4:Q4),B5,B9,B10,B11,,,,,
d_1_5000,6.89783,0.24160625,0.199562,100.67,101.97,,,B12,B14,AVERAGE(B15:Q15),B16,B20,B21,B22,,,,,
d_2_5000,9.65137,0.24160625,0.199562,100.67,101.97,,,B23,B25,AVERAGE(B26:Q26),B27,B31,B32,B33,,,,,
d_3_5000,6.35835,0.24160625,0.199562,100.79,102.09,,,B34,B36,AVERAGE(B37:Q37),B38,B42,B43,B44,,,,,
d_4_5000,9.30342,0.24160625,0.199562,100.67,101.97,,,B45,B47,AVERAGE(B48:Q48),B49,B53,B54,B55,,,,,
d_5_5000,9.38221,0.24160625,0.199562,100.26,101.54,,,B56,B58,AVERAGE(B59:Q59),B60,B64,B65,B66,,,,,
d_6_5000,7.95435,0.24160625,0.199562,100.26,101.54,,,B67,B69,AVERAGE(B70:Q70),B71,B75,B76,B77,,,,,
